Date Submitted,Workout Date,Activity Type,Calories Burned,Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace (min/mi),Avg Speed (mi/h),Max Speed (mi/h),Avg Heart Rate,Steps,Notes,Source,Link
"June 21, 2022","June 21, 2022",Run,0,1.00006,592,9.86603,6.19618,6.08147,9.68338,,1486,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6662589562
"June 15, 2022","June 15, 2022",Run,0,1.42892,758,8.84119,6.58098,6.78642,9.11718,,1955,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6649474069
"June 15, 2022","June 15, 2022",Run,0,0.131926,39,4.927,2.00244,12.1778,29.9635,,104,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6649444618
"June 11, 2022","June 11, 2022",Run,0,0,0,0,0,0,0,,,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6640058614
"June 7, 2022","June 7, 2022",Run,0,0.798512,463,9.66381,6.87068,6.20873,8.73276,,1143,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6631561270
"June 7, 2022","June 7, 2022",Run,0,0.331402,114,5.73322,2.46412,10.4653,24.3495,,303,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6631545337
"June 7, 2022","May 18, 2022",Run,0,0.402476,185,7.66092,4.23791,7.83196,14.1579,,498,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6631541236
"May 18, 2022","May 18, 2022",Run,0,1.42253,747,8.75203,5.78856,6.85555,10.3653,,1964,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6587776660
"April 27, 2022","April 26, 2022",Run,0,2.98127,1422,7.94963,2.00184,7.54752,29.9724,,2431,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6539343262
"April 15, 2022","April 15, 2022",Run,0,1.99539,1128,9.42172,4.09325,6.36827,14.6583,,2851,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6514268410
"April 15, 2022","April 5, 2022",Run,0,2.60943,2230,14.2432,7.72156,4.21252,7.77045,,4676,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6514228171
"Nov. 10, 2021","Nov. 10, 2021",Run,0,0.318669,112,5.85771,4.8403,10.2429,12.3959,,312,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6222825556
"Nov. 9, 2021","Nov. 9, 2021",Run,0,1.47726,708,7.98777,6.01085,7.51149,9.98194,,1900,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6220570258
"Nov. 9, 2021","Oct. 7, 2021",Run,0,0,1920,0,5.25773,0,11.4118,,,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6220537339
"Sept. 9, 2021","Sept. 9, 2021",Run,0,7.02627,3601,8.54175,4.73899,7.02432,12.6609,,9596,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/6081166735
"June 28, 2021","June 28, 2021",Run,0,4.99709,2741,9.14199,6.26015,6.56312,9.58443,,7255,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5889734578
"June 16, 2021","June 16, 2021",Run,0,5.00238,2494,8.30938,5.97216,7.22076,10.0466,,6665,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5856303439
"June 10, 2021","June 10, 2021",Run,0,5.01733,2387,7.92918,5.24996,7.56699,11.4286,,6411,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5839420222
"June 7, 2021","June 7, 2021",Run,0,4.00552,2180,9.07082,5.95049,6.61462,10.0832,,5775,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5830029820
"June 2, 2021","June 2, 2021",Run,0,2.01324,960,7.94739,5.47276,7.54965,10.9634,,2578,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5816363911
"May 26, 2021","May 26, 2021",Run,0,3.01312,1543,8.5349,6.15838,7.02996,9.74283,,4112,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5795552206
"May 11, 2021","May 11, 2021",Run,0,1.13273,974,14.3312,5.69351,4.18667,10.5383,,2488,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5751990274
"May 6, 2021","May 6, 2021",Run,0,3.42461,1668,8.1177,5.45066,7.39125,11.0078,,4469,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5738307103
"April 28, 2021","April 28, 2021",Run,0,3.12354,1957,10.4422,5.68848,5.74591,10.5476,,5118,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5714214223
"April 20, 2021","April 20, 2021",Run,0,3.08324,1577,8.52458,5.74536,7.03847,10.4432,,4203,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5689626661
"April 19, 2021","April 19, 2021",Run,0,3.22144,1597,8.26236,6.01485,7.26185,9.97532,,4270,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5686171027
"April 15, 2021","April 15, 2021",Run,0,2.33808,2702,19.2608,4.16067,3.11513,14.4208,,6790,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5674658974
"April 8, 2021","April 8, 2021",Run,0,3.38819,1601,7.87539,5.80574,7.61867,10.3346,,4330,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5651968330
"April 6, 2021","April 6, 2021",Run,0,3.99765,1972,8.22149,6.45939,7.29795,9.2888,,5308,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5644670734
"March 31, 2021","March 31, 2021",Run,0,0.00407484,11,44.9915,19.055,1.33359,3.14878,,27,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5626347019
"March 31, 2021","March 31, 2021",Run,0,0.717365,460,10.6873,6.73995,5.61416,8.90215,,1206,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5626345264
"March 25, 2021","March 24, 2021",Run,0,0.601371,320,8.86863,6.20163,6.76542,9.67488,,854,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5605849624
"March 23, 2021","March 23, 2021",Run,0,3.1085,1503,8.05856,5.57878,7.4455,10.755,,4055,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5601318280
"March 12, 2021","March 12, 2021",Run,0,1.50037,1140,12.6636,4.47874,4.738,13.3966,,2949,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5564527090
"March 9, 2021","March 9, 2021",Run,0,3.20709,1516,7.87839,4.69754,7.61577,12.7726,,4100,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5555371960
"Feb. 24, 2021","Feb. 24, 2021",Run,0,3.22221,1643,8.49831,6.18224,7.06023,9.70521,,4406,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5510992432
"Feb. 18, 2021","Feb. 17, 2021",Run,0,2.50826,1543,10.2528,6.93724,5.85207,8.64898,,4061,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5493099304
"Jan. 12, 2021","Jan. 12, 2021",Run,0,3.20856,1596,8.29032,6.31395,7.23735,9.50276,,4292,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5342595409
"Dec. 13, 2020","Dec. 13, 2020",Run,0,3.00048,1382,7.67655,5.73264,7.81601,10.4664,,3749,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5125838968
"Dec. 10, 2020","Dec. 10, 2020",Run,0,3.00198,1422,7.89479,5.87704,7.59995,10.2092,,3845,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5104157626
"Dec. 3, 2020","Dec. 3, 2020",Run,0,4.75022,3046,10.6872,6.59284,5.61418,9.10079,,7988,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5064951166
"Dec. 3, 2020","Dec. 3, 2020",Run,0,5.24745,3366,10.6909,6.74319,5.61224,8.89786,,8827,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5064571483
"Nov. 23, 2020","Nov. 23, 2020",Run,0,3.00467,1435,7.95982,6.03639,7.53785,9.93972,,3877,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/5013976945
"Nov. 19, 2020","Nov. 19, 2020",Run,0,3.01745,1500,8.28515,6.20188,7.24188,9.67448,,4034,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4987534435
"Nov. 19, 2020","Nov. 10, 2020",Run,0,1.54284,770,8.31799,5.8557,7.21328,10.2464,,2070,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4986940036
"Nov. 7, 2020","Nov. 5, 2020",Run,0,3.00756,1688,9.35421,6.62048,6.41423,9.06278,,4482,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4851720805
